Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status"
-,-,1528-1753AD-ND,1753,Adafruit Industries LLC,ADJUSTABLE BENT-WIRE STAND,0,0,"Active","0","0","-","*","Active"
-,-,1528-2290AD-ND,2290,Adafruit Industries LLC,TRINKET BOOK + NEOPIXEL GOGGLES,0,0,"Active","0","0","-","*","Active"
-,-,1528-2281AD-ND,2281,Adafruit Industries LLC,PI PROTECTOR FOR MODEL A+,0,0,"Active","0","0","-","*","Active"
-,-,1528-1977AD-ND,1977,Adafruit Industries LLC,CHIBITRONICS WHITE LEDS PACK,0,0,"Active","0","0","-","*","Active"
-,-,1528-2262AD-ND,2262,Adafruit Industries LLC,RASPBERRY PI MODEL B GPIO REF,0,0,"Active","0","0","-","*","Active"
-,-,1528-2110AD-ND,2110,Adafruit Industries LLC,HDMI 4 PI: 5 HDMI/VGA/NTSC/PAL,0,0,"Active","0","0","-","*","Active"
-,-,1528-1530AD-ND,1530,Adafruit Industries LLC,SOLDER:TIME DESK CLOCK,0,0,"Active","0","0","-","*","Active"
-,-,1528-2129AD-ND,2129,Adafruit Industries LLC,RASPBERRY PI ADD-ON PACK,0,0,"Active","0","0","-","*","Active"
-,-,2240-FM66036BK-ND,FM66036BK,"Transforming Technologies, LlC",ESD ANTI-FATIGUE MAT 3? X 5',0,0,"Active","0","0","-","*","Active"
-,-,2240-CM400-ND,CM400,"Transforming Technologies, LlC",SINGLE WIRE CONT MTR ONE OPERATR,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9029SPTL-ND,JKC9029SPTL,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 5XL TEAL,0,0,"Active","0","0","-","*","Active"
-,-,2240-FM53X4-ND,FM53X4,"Transforming Technologies, LlC",ESD ANTI-FATIGUE MAT 3?X4?,0,0,"Active","0","0","-","*","Active"
